EPBC Number,Stem,Url,Under Review,Scraped
2018/8280,2018_8280,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0afba1fe-3469-ed11-81ac-00224818aa41,True,2023/02/15
2017/7923,2017_7923,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=edece804-3569-ed11-81ac-00224818aa41,True,2023/02/15
2020/8801,2020_8801,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=e285194d-3959-ec11-80d2-00505684c563,True,2023/02/15
2019/8516,2019_8516,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=2b6958c7-6026-ec11-80c9-00505684c137,True,2023/02/15
2020/8702,2020_8702,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f9952a50-f666-ed11-9561-00224818a6aa,True,2023/02/15
2019/8608,2019_8608,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=672bdcbf-f766-ed11-9561-00224818a6aa,True,2023/02/15
2020/8803,2020_8803,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=f3d64ff0-ec66-ed11-9561-00224818a6aa,True,2023/02/15
2020/8759,2020_8759,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=885ff91c-e966-ed11-9561-00224818a6aa,True,2023/02/15
2020/8756,2020_8756,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6ce209a8-e966-ed11-9561-00224818a6aa,True,2023/02/15
2021/9010,2021_9010,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=6319e2be-d966-ed11-9561-00224818a6aa,True,2023/02/15
2019/8468,2019_8468,https://epbcpublicportal.awe.gov.au/offsets-register/offset-detail/?id=0a64e1ed-f966-ed11-9561-00224818a6aa,True,2023/02/15
